plan_name,monthly_rental,rate_local_day,rate_local_eve,rate_local_night,rate_intl,free_day,free_eve,free_night,free_intl
Lite Voice 99,99,0.2,0.12,0.12,0.35,100,50,50,0
Lite Value 149,149,0.18,0.1,0.1,0.32,200,100,100,0
Day Saver 249,249,0.15,0.09,0.1,0.28,500,100,100,0
Day Pro 349,349,0.14,0.09,0.1,0.27,800,150,150,0
Night Owl 199,199,0.18,0.12,0.05,0.32,50,100,800,0
Midnight Max 299,299,0.17,0.12,0.0,0.3,100,200,1500,0
All-Rounder 299,299,0.16,0.08,0.08,0.28,300,300,300,10
All-Rounder Pro 399,399,0.15,0.08,0.08,0.27,400,400,400,20
Unlimited Talk 399,399,0.14,0.07,0.07,0.28,900,600,600,0
Ultra Unlimited 499,499,0.13,0.07,0.06,0.26,1200,800,800,0
Global Saver 399,399,0.16,0.08,0.08,0.23,300,200,200,50
Global Connect 599,599,0.15,0.08,0.08,0.2,500,300,300,100
